scenario,policy,train_seed,episode,weighted_goodput,sla_success_ratio,p95_latency,demand_loss,mean_abs_advantage,policy_entropy
light,wpr_no_progress,20260717,0.0,14.100000000000001,0.6666666666666666,32.122798919677734,0.13829704543904348,0.40495940983751666,1.2534875501035139
light,wpr_no_progress,20260717,1.0,18.2,0.8333333333333334,23.981387615203857,0.06688143775681965,0.5825837741763134,0.7593823193766153
light,wpr_no_progress,20260717,2.0,3.8,0.08333333333333333,28.139124870300293,0.02472930192016065,0.3884850765681482,1.3466488240161727
light,wpr_no_progress,20260717,3.0,10.600000000000001,0.3333333333333333,25.699344730377195,0.07675561700214414,0.42913231339774616,1.3693384744510408
light,wpr_no_progress,20260717,4.0,10.5,0.3333333333333333,23.111267852783204,0.06410822130151485,0.5617095995173816,1.227531853577731
light,wpr_no_progress,20260717,5.0,18.599999999999998,0.7142857142857143,25.016967296600342,0.06502473814826873,0.5566065403424557,1.171658726918408
light,wpr_no_progress,20260717,6.0,17.2,0.8333333333333334,27.666457176208496,0.057994173825136386,0.5678957913670265,0.9340195629303883
light,wpr_no_progress,20260717,7.0,14.399999999999999,0.4,26.106189250946045,0.033015782851725815,0.6233486758490252,1.3323915105167408
light,wpr_no_demand,20260717,0.0,17.0,0.45454545454545453,32.40007781982421,0.0,0.39347746999218447,1.2336008062950268
light,wpr_no_demand,20260717,1.0,20.3,0.8333333333333334,29.57375602722168,0.0,0.5684619159614678,1.163520194678848
light,wpr_no_demand,20260717,2.0,15.3,0.6666666666666666,27.37153015136719,0.0,0.4124041874754546,0.6939395138261182
light,wpr_no_demand,20260717,3.0,14.4,0.5,30.549973678588866,0.0,0.5634910136604392,1.0164593522182246
light,wpr_no_demand,20260717,4.0,6.4,0.3333333333333333,20.489749050140382,0.0,0.4715794525715651,1.0609677689987764
light,wpr_no_demand,20260717,5.0,18.3,0.7142857142857143,26.590553283691406,0.0,0.7195098663222571,0.9129765715045386
light,wpr_no_demand,20260717,6.0,13.7,0.36363636363636365,22.85841999053955,0.0,0.5609873223757701,1.3050006734171649
light,wpr_no_demand,20260717,7.0,10.600000000000001,0.75,21.43928451538086,0.0,0.4120177013753181,0.6071581480255852
light,wpr_no_residency,20260717,0.0,11.2,0.3,28.10406074523926,0.06999067019890337,0.41400392931812086,1.355335159340939
light,wpr_no_residency,20260717,1.0,9.9,0.375,24.391561317443845,0.027998220859071575,0.44672996004485993,1.4322848702231485
light,wpr_no_residency,20260717,2.0,11.5,0.42857142857142855,31.238221168518066,0.038127910048286945,0.4669986062208792,1.301704388581426
light,wpr_no_residency,20260717,3.0,14.8,0.4,27.067332458496093,0.03349689630038561,0.6022881308331304,1.3319178185878746
light,wpr_no_residency,20260717,4.0,14.0,1.0,24.375696086883544,0.07320933613926173,0.5446747624606681,0.5836033094649618
light,wpr_no_residency,20260717,5.0,10.2,0.375,23.367953491210937,0.06461383090759117,0.6119451385654563,1.1458924085103792
light,wpr_no_residency,20260717,6.0,21.299999999999997,0.8571428571428571,25.40263032913208,0.05187640784660707,0.5419841918523809,0.9961351052667847
light,wpr_no_residency,20260717,7.0,21.400000000000002,0.6666666666666666,24.827779293060303,0.04028188240505299,0.7218250773968913,1.1613696014589003
light,wpr_fixed_gamma,20260717,0.0,18.8,0.7142857142857143,25.231248092651366,0.09093033970872823,0.6277505275450256,0.9651764248227355
light,wpr_fixed_gamma,20260717,1.0,15.600000000000001,1.0,26.07739667892456,0.05313502341184927,0.535114138851995,0.8437171459723997
light,wpr_fixed_gamma,20260717,2.0,9.9,0.2727272727272727,27.924523353576657,0.05202882710039954,0.44463867092132575,1.0596861162258113
light,wpr_fixed_gamma,20260717,3.0,11.600000000000001,0.2727272727272727,26.584466171264648,0.032622089669867245,0.5273359542864341,1.2672766268658124
light,wpr_fixed_gamma,20260717,4.0,16.0,0.5,30.958248901367188,0.05778640481786659,0.6822735732029646,1.1109529186020572
light,wpr_fixed_gamma,20260717,5.0,23.799999999999997,1.0,26.71686363220215,0.03444200673257001,0.5788467664718627,1.0231280745911688
light,wpr_fixed_gamma,20260717,6.0,18.3,0.7142857142857143,27.05506420135498,0.05430552522755332,0.6740810810724895,0.7892076646588393
light,wpr_fixed_gamma,20260717,7.0,13.4,0.2857142857142857,26.467576885223387,0.03851920423570961,0.581544725175888,1.282935511840896
light,wpr_a2c,20260717,0.0,7.0,0.2222222222222222,28.04762954711914,0.08196086413227022,0.3106105290323374,1.2076453516766874
light,wpr_a2c,20260717,1.0,8.4,0.25,27.540916919708252,0.027725294768891257,0.3436746892130834,1.392075320310582
light,wpr_a2c,20260717,2.0,14.3,0.8,24.76185827255249,0.04396357195865777,0.4250405068977352,0.6554300477069777
light,wpr_a2c,20260717,3.0,0.0,0.0,28.717771530151367,0.04624254499018813,0.21863022749854713,1.2441435373849028
light,wpr_a2c,20260717,4.0,7.0,0.25,25.559043312072752,0.04075721594527727,0.41604084189984814,1.2891766506231102
light,wpr_a2c,20260717,5.0,11.5,0.75,20.443531799316407,0.06841910976916551,0.4812322386065645,0.5975774741818269
light,wpr_a2c,20260717,6.0,3.2,0.1,31.839051055908204,0.06075646910959712,0.2988071803472703,1.4648103976069842
light,wpr_a2c,20260717,7.0,10.8,0.3,29.96315698623657,0.03900847819475633,0.39026487392295367,1.3662436090263284
