scenario,policy,train_seed,episode,weighted_completed_value,weighted_goodput,weighted_goodput_rate,sla_success_ratio,p95_latency,demand_loss,mean_abs_advantage,policy_entropy
light,vanilla_a2c,20260717,0.0,33.599999999999994,33.599999999999994,0.48818369606333933,1.0,28.070713424682616,0.0,0.7996878220941148,0.7142087353057708
light,vanilla_a2c,20260717,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010980882572884617,0.001122950759040255
light,vanilla_a2c,20260717,2.0,19.2,19.2,0.3537066439586964,0.7142857142857143,21.9664363861084,0.0,0.027171990441379662,0.027167779638766817
light,vanilla_a2c,20260717,3.0,15.0,15.0,0.3295623289066328,0.4,23.500261306762695,0.0,0.01987105940526834,0.025082293446050234
light,vanilla_a2c,20260717,4.0,20.0,20.0,0.3279709977497236,0.7142857142857143,24.765197372436525,0.0,0.033023974401262264,0.019024101429201044
light,vanilla_a2c,20260717,5.0,18.1,18.1,0.30216047815140845,0.7142857142857143,20.659892272949218,0.0,0.6192986779340459,0.6807285994771755
light,vanilla_a2c,20260717,6.0,11.1,11.1,0.2945140713442493,0.6,23.554625511169434,0.0,0.019701489267626947,0.014596391773054659
light,vanilla_a2c,20260717,7.0,18.1,18.1,0.30947505342446824,0.8333333333333334,20.695536804199218,0.0,0.026877249775607008,0.022951493279831824
light,wpr_no_progress,20260717,0.0,7.800000000000001,7.800000000000001,0.1423556672343924,0.5,20.245208168029784,0.24983150376514954,0.9175479660005498,0.9134410115222539
light,wpr_no_progress,20260717,1.0,19.4,19.4,0.2790176483888738,0.8333333333333334,29.52108688354492,0.09094855618541656,0.8134733968822038,0.8331406138507207
light,wpr_no_progress,20260717,2.0,44.300000000000004,44.300000000000004,0.6669730357705136,0.8,25.101791286468504,0.039927324544316016,0.8504169611819351,1.0391744998690529
light,wpr_no_progress,20260717,3.0,28.799999999999997,28.799999999999997,0.5286969445813196,1.0,23.41985158920288,0.044157457910478114,0.7046393633227567,0.5237535760929874
light,wpr_no_progress,20260717,4.0,22.8,22.8,0.3635201863512867,1.0,30.310978889465332,0.07782174812422858,0.9789527874984686,0.5119090586983736
light,wpr_no_progress,20260717,5.0,34.1,34.1,0.6403314089327928,0.9,24.291349029541013,0.03927276647524335,0.9183280046368382,1.016463337751057
light,wpr_no_progress,20260717,6.0,10.5,10.5,0.205696809234887,0.75,30.851071548461913,0.0013177744583802277,0.01706024310478269,0.008287562618395385
light,wpr_no_progress,20260717,7.0,22.300000000000004,22.300000000000004,0.41056361670402663,0.8571428571428571,20.882490634918213,0.0010318236330177602,0.02916630370518761,0.021577234775390315
light,wpr_no_demand,20260717,0.0,19.200000000000003,19.200000000000003,0.5207282298046806,0.7142857142857143,28.929819107055664,0.0,0.024748447816776306,0.03373573508946996
light,wpr_no_demand,20260717,1.0,33.099999999999994,33.099999999999994,0.5917238280540638,0.9,20.95562286376953,0.0,0.041667810946768906,0.04056867664861314
light,wpr_no_demand,20260717,2.0,26.7,26.7,0.5030561265261055,1.0,24.83590106964111,0.0,0.8326747933474369,0.8618479913555037
light,wpr_no_demand,20260717,3.0,11.5,11.5,0.30776114491495893,0.75,26.748234748840332,0.0,0.02040648167449741,0.016382882698623865
light,wpr_no_demand,20260717,4.0,24.400000000000006,24.400000000000006,0.49466799070744005,0.6,27.88672113418579,0.0,0.030922546299031035,0.025779271851679674
light,wpr_no_demand,20260717,5.0,29.8,29.8,0.493335236226511,0.8888888888888888,28.5783369064331,0.0,1.0429099299822404,0.9578750164872125
light,wpr_no_demand,20260717,6.0,28.799999999999997,28.799999999999997,0.5242397828062013,0.8,23.47432117462158,0.0,0.038816458249602954,0.04656942087152813
light,wpr_no_demand,20260717,7.0,15.100000000000001,15.100000000000001,0.32115693008697044,1.0,31.602489089965818,0.0,1.6693490224860876,0.9907356718760748
