scenario,policy,n,weighted_completed_value_mean,weighted_completed_value_sem,weighted_goodput_rate_mean,weighted_goodput_rate_sem,weighted_goodput_ratio_mean,weighted_goodput_ratio_sem,sla_success_ratio_mean,sla_success_ratio_sem,completion_ratio_mean,completion_ratio_sem,p95_latency_mean,p95_latency_sem,avg_latency_mean,avg_latency_sem,avg_ready_wait_mean,avg_ready_wait_sem,rejected_mean,rejected_sem,dropped_mean,dropped_sem,lookahead_gap_mean,lookahead_gap_sem
light,dag_oracle_greedy,2.0,17.1,9.4,0.3653397465634565,0.1602723911254363,0.6786648034619546,0.026122430580598596,0.6833333333333333,0.016666666666666663,0.6833333333333333,0.016666666666666663,25.33094093799591,3.9411371946334803,19.67993310519627,1.875115428652082,1.4391047795613607,0.44280331929524736,1.0,1.0,0.0,0.0,0.0,0.0
light,edf,2.0,15.0,7.3,0.31467221936015644,0.10813691000164995,0.6228137396321674,0.029728633249188615,0.6333333333333333,0.033333333333333326,0.6333333333333333,0.033333333333333326,24.353673386573792,2.7916785001754754,20.380343993504844,2.5680657227834067,1.5167074327883512,0.8659923677859099,1.5,1.4999999999999998,0.0,0.0,0.0,0.0
light,online_greedy,2.0,15.0,7.3,0.2909618679096025,0.08442655855109603,0.6228137396321674,0.029728633249188615,0.6333333333333333,0.033333333333333326,0.6333333333333333,0.033333333333333326,26.73484251499176,4.9139082670211796,21.475231726964317,3.5266695817311606,2.0636491692584493,1.412934104256008,1.5,1.4999999999999998,0.0,0.0,0.0,0.0
light,random,2.0,17.05,5.250000000000001,0.3696156204893732,0.05980481506448359,0.7965425531914894,0.2034574468085106,0.8,0.2,0.8,0.2,27.07316870689392,2.641467618942261,20.499035517374672,1.9411681493123376,1.4502746929293093,0.6003686060076174,1.5,1.4999999999999998,0.0,0.0,0.0,0.0
light,vanilla_a2c,2.0,11.200000000000001,7.6,0.2534843500673139,0.09897788571583628,0.40254237288135597,0.09745762711864404,0.41666666666666663,0.08333333333333334,0.4666666666666667,0.13333333333333333,20.935445547103882,9.30374026298523,17.91669670740763,6.28499142328898,1.823530041653177,1.114075982052347,1.5,1.4999999999999998,0.0,0.0,0.0,0.0
light,wpr_a2c,2.0,8.0,0.3000000000000007,0.17016990838132307,0.03489744705669715,0.4366435268662099,0.21589884601514606,0.43333333333333335,0.2333333333333333,0.43333333333333335,0.2333333333333333,26.21009557247162,4.82029182910919,22.97047781944275,5.16566014289856,1.5466399601527625,0.5503384998866491,2.0,2.0,2.0,2.0,0.0,0.0
light,wpr_fixed_gamma,2.0,17.1,9.4,0.33759926956387815,0.1325319141258579,0.6786648034619546,0.026122430580598596,0.6833333333333333,0.016666666666666663,0.6833333333333333,0.016666666666666663,25.73288414478302,4.3430804014205915,21.162079640797206,3.357261964253016,1.6984932087085864,0.7021917484424731,1.0,1.0,0.0,0.0,0.0,0.0
light,wpr_no_demand,2.0,15.0,7.3,0.32561693780430556,0.11908162844579906,0.6228137396321674,0.029728633249188615,0.6333333333333333,0.033333333333333326,0.6333333333333333,0.033333333333333326,25.82042763233185,3.999493384361267,20.300105492273964,2.3515433470408116,1.4518674684607462,0.801152403458305,1.5,1.4999999999999998,0.0,0.0,0.0,0.0
light,wpr_no_progress,2.0,8.0,0.3000000000000007,0.17016990838132307,0.03489744705669715,0.4366435268662099,0.21589884601514606,0.43333333333333335,0.2333333333333333,0.43333333333333335,0.2333333333333333,26.21009557247162,4.82029182910919,22.97047781944275,5.16566014289856,1.5466399601527625,0.5503384998866491,2.0,2.0,2.0,2.0,0.0,0.0
light,wpr_no_residency,2.0,15.0,7.3,0.2833918726787596,0.0947816453724396,0.6228137396321674,0.029728633249188615,0.6333333333333333,0.033333333333333326,0.6333333333333333,0.033333333333333326,26.378016400337216,0.4527059316635142,22.043678522109985,2.0924041271209717,1.953834695401399,0.32848317104837155,1.5,1.4999999999999998,0.0,0.0,0.0,0.0
