scenario,policy,train_seed,episode,weighted_goodput,sla_success_ratio,p95_latency,demand_loss,mean_abs_advantage,policy_entropy
small_optimal,wpr_no_progress,20260717,0.0,11.5,1.0,23.120768547058105,0.160877000344427,0.5912946140761677,0.693755364602076
small_optimal,wpr_no_progress,20260717,1.0,7.0,0.6666666666666666,20.49050579071045,0.07918976992368698,0.38362287858144245,0.6931552317131121
small_optimal,wpr_no_progress,20260717,2.0,3.8,0.5,20.198070526123047,0.06315100648336941,0.3456521875111613,0.4815265077144062
small_optimal,wpr_no_progress,20260717,3.0,11.2,1.0,22.67160568237305,0.10548809767865083,0.6179269636063035,0.9360930879855217
small_optimal,wpr_no_progress,20260717,4.0,7.7,0.6666666666666666,24.045130920410156,0.052466256020125,0.36841860011810096,0.7871196901103987
small_optimal,wpr_no_progress,20260717,5.0,7.0,0.5,18.186210536956786,0.03678025848542651,0.6895848033126578,0.800675335190204
small_optimal,wpr_no_progress,20260717,6.0,3.8,1.0,16.479934692382812,0.09370823055505753,0.318715548964998,0.606182790508781
small_optimal,wpr_no_progress,20260717,7.0,11.5,1.0,23.212418937683104,0.050046389864291996,0.5366552378155297,0.684016881062949
small_optimal,wpr_no_progress,20260717,8.0,7.0,1.0,17.83381109237671,0.05887313215062022,0.43714272046494146,0.49683202970776297
small_optimal,wpr_no_progress,20260717,9.0,11.399999999999999,0.6,26.08296642303467,0.07225009247971077,0.43867250738125635,0.7833069172624798
small_optimal,wpr_no_progress,20260717,10.0,7.4,1.0,18.106252098083495,0.09447520654648542,0.7331618107777352,0.634426111951061
small_optimal,wpr_no_progress,20260717,11.0,3.2,0.5,16.091115951538086,0.0632883935338921,0.9148124307859605,0.6752897422277272
small_optimal,wpr_no_demand,20260717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
small_optimal,wpr_no_demand,20260717,1.0,11.2,1.0,26.40947551727295,0.0,0.6804734925912126,0.7894151947769356
small_optimal,wpr_no_demand,20260717,2.0,3.8,1.0,17.61513328552246,0.0,0.4859509304618815,0.6550360303069479
small_optimal,wpr_no_demand,20260717,3.0,4.2,0.2,29.603503036499024,0.0,0.3201762248396889,0.6180570938593042
small_optimal,wpr_no_demand,20260717,4.0,9.600000000000001,0.5,20.549151992797853,0.0,0.5846310257739717,1.1622066413124736
small_optimal,wpr_no_demand,20260717,5.0,7.3,0.6666666666666666,19.6085636138916,0.0,0.621506167630875,0.6334027777937506
small_optimal,wpr_no_demand,20260717,6.0,4.2,0.5,19.576316833496094,0.0,0.21962800748904976,0.7247254377230754
small_optimal,wpr_no_demand,20260717,7.0,7.7,0.2857142857142857,24.468651866912843,0.0,0.3046568028264899,0.6909706328370129
small_optimal,wpr_no_demand,20260717,8.0,10.5,0.75,20.994668579101564,0.0,0.7114688423536479,0.800874097476797
small_optimal,wpr_no_demand,20260717,9.0,0.0,0.0,0.0,0.0,0.4396095176129523,0.9771735852853913
small_optimal,wpr_no_demand,20260717,10.0,8.0,0.5,19.288791561126708,0.0,0.679884164648613,0.7384777413498897
small_optimal,wpr_no_demand,20260717,11.0,4.2,0.25,20.270877838134766,0.0,0.5060779468771924,0.93334267119464
small_optimal,wpr_no_residency,20260717,0.0,3.5,1.0,15.374506950378418,0.28534267470240593,0.875,0.7076845837762411
small_optimal,wpr_no_residency,20260717,1.0,11.600000000000001,0.75,25.155257797241212,0.08565568421845851,0.43524279077316425,0.8489956497692555
small_optimal,wpr_no_residency,20260717,2.0,0.0,0.0,0.0,0.0,0.0,0.0
small_optimal,wpr_no_residency,20260717,3.0,8.0,0.6666666666666666,21.07103509902954,0.040020986343733966,0.7208062936928735,0.8875253249652013
small_optimal,wpr_no_residency,20260717,4.0,7.3,1.0,18.47517681121826,0.06688851555809379,0.4642618201862909,0.5385922787999503
small_optimal,wpr_no_residency,20260717,5.0,3.8,1.0,17.05193328857422,0.05529279187321663,0.22571114703889217,0.6590582052072126
small_optimal,wpr_no_residency,20260717,6.0,8.0,1.0,19.618276119232178,0.0756722698919475,0.46502619904155457,0.6353301784568992
small_optimal,wpr_no_residency,20260717,7.0,3.8,1.0,17.276912689208984,0.04493356868624687,0.1632700401557285,0.6589116083860256
small_optimal,wpr_no_residency,20260717,8.0,6.7,0.6666666666666666,20.872511768341063,0.07788076884064235,0.6278503901496754,0.4978091429304797
small_optimal,wpr_no_residency,20260717,9.0,7.4,0.5,19.228793239593507,0.020000230235216968,0.5984593520471787,0.8200748402468495
small_optimal,wpr_no_residency,20260717,10.0,3.8,1.0,16.560022354125977,0.1346081554889679,0.16284659602959506,0.6589448751312112
small_optimal,wpr_no_residency,20260717,11.0,3.8,0.5,18.366464614868164,0.015764556359499693,0.17237995364565983,0.6612769992364264
small_optimal,wpr_fixed_gamma,20260717,0.0,3.2,1.0,17.017818450927734,0.3462420403957367,0.64,0.7843674389671571
small_optimal,wpr_fixed_gamma,20260717,1.0,7.4,0.4,21.71129102706909,0.05105835622684522,0.4245943927358498,1.1253212395240766
small_optimal,wpr_fixed_gamma,20260717,2.0,11.5,0.75,23.252084922790527,0.031410276522173694,0.4538295738320602,0.9838698655338646
small_optimal,wpr_fixed_gamma,20260717,3.0,6.4,1.0,22.07243142127991,0.09153759591281414,0.381011031627655,0.6920019997665111
small_optimal,wpr_fixed_gamma,20260717,4.0,4.2,1.0,18.435476303100586,0.10452991984784603,0.2996736812591553,0.7668687562723722
small_optimal,wpr_fixed_gamma,20260717,5.0,7.7,0.6666666666666666,26.173304510116576,0.04945372827351093,0.24001352274417873,0.7817877972506349
small_optimal,wpr_fixed_gamma,20260717,6.0,3.5,0.5,18.313270568847656,0.05465258735542496,0.6288359127442041,0.4320522437498413
small_optimal,wpr_fixed_gamma,20260717,7.0,3.8,1.0,16.56002426147461,0.07873548418283463,0.2020644888877868,0.6291825514750654
small_optimal,wpr_fixed_gamma,20260717,8.0,0.0,0.0,0.0,0.0,0.0,0.0
small_optimal,wpr_fixed_gamma,20260717,9.0,7.3,0.4,23.506478691101073,0.03190554057558378,0.6769638622374763,1.0496255628742122
small_optimal,wpr_fixed_gamma,20260717,10.0,4.2,1.0,18.872276306152344,0.08530093580484391,0.12904322910308846,0.7694283988224844
small_optimal,wpr_fixed_gamma,20260717,11.0,7.3,0.6666666666666666,21.930191898345946,0.03658158320467919,0.4083706077933311,0.6884388391597362
small_optimal,wpr_a2c,20260717,0.0,3.2,0.3333333333333333,15.760064125061035,0.17459300676217446,0.3073779575286587,0.7121096678740397
small_optimal,wpr_a2c,20260717,1.0,0.0,0.0,0.0,0.025079659651964903,0.06169218836499256,0.726090462816166
small_optimal,wpr_a2c,20260717,2.0,0.0,0.0,0.0,0.0,0.0,0.0
small_optimal,wpr_a2c,20260717,3.0,3.8,0.3333333333333333,18.474363327026367,0.04508909906315453,0.3039094463382854,0.6460326585125145
