scenario,policy,n,weighted_goodput_mean,weighted_goodput_sem,weighted_goodput_ratio_mean,weighted_goodput_ratio_sem,sla_success_ratio_mean,sla_success_ratio_sem,completion_ratio_mean,completion_ratio_sem,p95_latency_mean,p95_latency_sem,avg_latency_mean,avg_latency_sem,dropped_mean,dropped_sem,optimality_gap_mean,optimality_gap_sem
heavy,edf,3.0,14.233333333333334,0.5607534613753575,0.14471089087141467,0.0163374714286392,0.1500345065562457,0.012251722751154673,0.1611456176673568,0.009380453567334843,23.6180079460144,0.7639788790579877,19.832505067189533,0.1890592230167529,22.666666666666668,1.8559214542766742,0.0,0.0
heavy,greedy,3.0,8.700000000000001,1.5524174696260027,0.09033411813780506,0.023314633389495226,0.08951000690131124,0.02050850948805685,0.12701863354037268,0.02353769575672073,28.380019442240396,0.326127717310464,24.339732487996418,0.9969225031754462,23.666666666666668,2.4037008503093267,0.0,0.0
heavy,random,3.0,6.2,1.50996688705415,0.06353858294316221,0.017828049931735895,0.06311249137336093,0.014898722649029706,0.06311249137336093,0.014898722649029706,24.679672463734946,0.9731033742475045,21.822840054829914,0.7825191493735607,25.333333333333332,2.185812841434,0.0,0.0
heavy,vanilla_rl,3.0,1.0666666666666667,1.0666666666666669,0.009618274721971746,0.009618274721971746,0.011111111111111112,0.011111111111111112,0.06311249137336093,0.014898722649029706,30.266255696614582,2.1245380123562865,27.840279897054035,2.902686827842175,25.333333333333332,2.185812841434,0.0,0.0
heavy,wpr_a2c,3.0,7.333333333333333,1.9125317717041406,0.07235017497445917,0.016977111463367573,0.07242926155969633,0.018602874594948967,0.10141476880607314,0.018629737873397587,24.585984198252362,2.7826821399696247,22.75582069820828,2.29561126748474,24.333333333333332,2.3333333333333335,0.0,0.0
heavy,wpr_fixed_gamma,3.0,8.6,1.6000000000000003,0.08935945926840934,0.023732255811380696,0.08951000690131124,0.02050850948805685,0.08951000690131124,0.02050850948805685,24.46416222254435,0.5676184541756059,22.010983255174423,0.5506933430226821,24.666666666666668,2.4037008503093267,0.0,0.0
heavy,wpr_no_demand,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0816659994661326,0.0,0.0
heavy,wpr_no_progress,3.0,14.066666666666668,3.0688398097290412,0.14677408329714361,0.0436639747875833,0.14151138716356107,0.03799594924005717,0.1526224982746722,0.03325524490401145,26.937411816914874,0.5131140680503254,22.932929939693874,0.10703212885115114,23.0,2.5166114784235836,0.0,0.0
heavy,wpr_no_residency,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037508626639061425,0.003062930687788668,26.138423919677734,1.7045897582572,26.138423919677734,1.7045897582572,26.0,2.0816659994661326,0.0,0.0
light,edf,3.0,18.86666666666667,2.169741408043313,0.6211717837605262,0.20451372677921922,0.6210826210826211,0.20251981997205595,0.6581196581196581,0.19989770194062392,25.7479411760966,1.1772769950287574,20.99165238274468,0.9965491211214231,3.3333333333333335,2.0275875100994067,0.0,0.0
light,greedy,3.0,12.799999999999999,3.235737937472688,0.44960008297990045,0.20916962157681765,0.44017094017094016,0.20329486995327006,0.5954415954415955,0.22295153899161085,27.407933521270753,2.276553426053814,23.7259839799669,1.0817548271750754,3.6666666666666665,2.3333333333333335,0.0,0.0
light,random,3.0,11.200000000000001,4.430575583375144,0.4146286649456021,0.22725923067192844,0.41452991452991456,0.2220989138493382,0.576923076923077,0.17963973980327952,30.185299237569172,3.0686695915469575,25.123339313930938,2.410360679425768,4.333333333333333,2.4037008503093267,0.0,0.0
light,vanilla_rl,3.0,12.466666666666667,3.0769754269050926,0.4308423996557871,0.20516705252739292,0.42877492877492873,0.2022942492698091,0.5398860398860399,0.17412162867347303,27.036686388651532,3.235180363804226,23.075561099582245,2.0280668829896222,4.0,2.0816659994661326,0.0,0.0
light,wpr_a2c,3.0,15.133333333333333,3.735564809295168,0.5124788708586884,0.19483388766921456,0.5142450142450142,0.19723558450863451,0.576923076923077,0.17963973980327952,28.135724194844567,2.3132862766826543,24.104710939195417,1.222816736164421,3.6666666666666665,1.7638342073763937,0.0,0.0
light,wpr_fixed_gamma,3.0,16.066666666666666,2.8085187871505823,0.5314105814739689,0.17768914295153043,0.5398860398860399,0.17412162867347303,0.7321937321937323,0.21466059590734576,30.528469880421955,1.8389973860046218,23.27563911014133,1.4335527316927796,2.3333333333333335,1.8559214542766742,0.0,0.0
light,wpr_no_demand,3.0,11.733333333333334,2.034152840318981,0.39689363206097483,0.15207441412977485,0.3846153846153846,0.15024269941236706,0.3846153846153846,0.15024269941236706,24.09195655186971,2.9744791245612303,20.517262034946018,1.5188748713060514,6.0,2.3094010767585034,0.0,0.0
light,wpr_no_progress,3.0,8.833333333333334,3.453178889725299,0.3170243254041429,0.1899230986980699,0.31054131054131057,0.17848951689660497,0.33618233618233617,0.1688139369461601,23.612420654296873,4.035424925922303,20.118791739145916,2.4543348878991917,5.333333333333333,1.6666666666666667,0.0,0.0
light,wpr_no_residency,3.0,17.866666666666667,1.2991450179936717,0.5729558516196448,0.15738352353226187,0.5655270655270656,0.1518213810343933,0.6396011396011395,0.16672753168226848,26.292800458272296,2.8978467060392563,22.064460504622687,1.0943150642565784,3.6666666666666665,2.1858128414340006,0.0,0.0
moderate,edf,3.0,16.2,1.2489995996796803,0.29982751950378606,0.044006672102620846,0.2955253896430367,0.0454563146003085,0.3656108597285068,0.06753662096021722,27.259596951802575,2.3489228622747254,21.590530183580185,0.6524583529344405,9.666666666666666,1.7638342073763937,0.0,0.0
moderate,greedy,3.0,14.0,2.505992817228334,0.2628763852224016,0.0664381138669275,0.2536953242835596,0.06581148570592828,0.2955253896430367,0.0454563146003085,27.679428323109942,0.17549869785925293,23.57399845123291,0.40757959385506165,10.666666666666666,1.452966314513558,0.0,0.0
moderate,random,3.0,10.4,1.0066445913694335,0.19385828803529037,0.032557362776309405,0.1828054298642534,0.03376831048010861,0.20844645550527904,0.05502364980124748,26.045625400543212,1.4767250856209457,23.960882981618244,1.39860431667785,12.0,1.7320508075688774,0.0,0.0
moderate,vanilla_rl,3.0,4.933333333333334,1.2666666666666668,0.0930917819713279,0.030426956629003136,0.09311211664152841,0.030451306249373658,0.17938662644544998,0.04487370308572402,26.940840911865234,3.1652207242343087,23.175959587097168,2.0402459691116195,12.333333333333334,1.3333333333333335,0.0,0.0
moderate,wpr_a2c,3.0,11.666666666666666,2.425787386488034,0.21706852225035955,0.05730839534224176,0.20583207642031173,0.052430384721735446,0.2536953242835596,0.06581148570592828,27.10472844441732,1.2742384314651691,24.189812342325848,1.1427041900011006,11.333333333333334,1.7638342073763937,0.0,0.0
moderate,wpr_fixed_gamma,3.0,20.1,4.6003623045726885,0.37031318887005243,0.0908554843762203,0.35877325289089995,0.08974740617144804,0.35877325289089995,0.08974740617144804,24.66815013885498,1.0047802913659676,21.902204195658367,1.0530998031022478,9.666666666666666,1.7638342073763937,0.0,0.0
moderate,wpr_no_demand,3.0,8.200000000000001,4.793050524804984,0.15867388628582657,0.08948482705414841,0.1623931623931624,0.09631989461183457,0.20160884866767217,0.0666860767962842,25.69838218688965,2.4130566376822515,23.33120282491048,2.9377539294628208,12.0,1.5275252316519468,0.0,0.0
moderate,wpr_no_progress,3.0,1.4000000000000001,1.4000000000000001,0.029106029106029108,0.029106029106029108,0.025641025641025644,0.025641025641025644,0.09311211664152841,0.030451306249373658,28.533599789937337,1.7766364663139003,28.011971791585285,1.6392870469530207,13.666666666666666,1.452966314513558,0.0,0.0
moderate,wpr_no_residency,3.0,16.4,1.27671453348037,0.30377219322457916,0.04541974624281306,0.2955253896430367,0.0454563146003085,0.3177476118652589,0.043804095042650995,26.815039571126302,1.944215089144361,22.017359097798664,0.7491722765100358,10.333333333333334,1.452966314513558,0.0,0.0
small_optimal,edf,3.0,7.2,1.934769581457527,0.4965187953115519,0.0020333154353978505,0.5,0.0,0.5,0.0,18.641270701090495,1.2243185248383421,17.687423706054688,0.7358962729767333,0.3333333333333333,0.33333333333333337,0.029166666666666674,0.029166666666666674
small_optimal,greedy,3.0,7.2,1.934769581457527,0.4965187953115519,0.0020333154353978505,0.5,0.0,0.5,0.0,19.643662452697754,1.6018515369123676,18.37649303012424,0.9506913116392745,0.0,0.0,0.029166666666666674,0.029166666666666674
small_optimal,random,3.0,7.2,1.934769581457527,0.4965187953115519,0.0020333154353978505,0.5,0.0,0.5,0.0,20.61633326212565,1.8600741400025682,19.44679281446669,0.9841099472668106,0.0,0.0,0.029166666666666674,0.029166666666666674
small_optimal,vanilla_rl,3.0,7.433333333333334,1.9547662548527667,0.5123918111845678,0.01604226829141001,0.5,0.0,0.5,0.0,19.41860097249349,1.8158261601669203,18.09654490152995,0.9803257504324117,0.3333333333333333,0.33333333333333337,0.0,0.0
small_optimal,wpr_a2c,3.0,5.933333333333334,3.1071601896980536,0.32985212864488517,0.16492941328953298,0.3333333333333333,0.16666666666666669,0.3333333333333333,0.16666666666666669,14.71325715382894,7.420332082636953,13.682903925577799,6.847820570487721,0.0,0.0,0.3625,0.3197492507158278
small_optimal,wpr_fixed_gamma,3.0,6.033333333333334,1.1200198410940962,0.4417457123694548,0.056562130526659204,0.4444444444444444,0.055555555555555566,0.4444444444444444,0.055555555555555566,20.771723969777426,2.0319650257396673,19.296121915181477,1.2878799590132384,0.0,0.0,0.14027777777777778,0.09977791697589895
small_optimal,wpr_no_demand,3.0,6.266666666666667,1.2666666666666668,0.4576187282424707,0.06574122469913765,0.4444444444444444,0.055555555555555566,0.4444444444444444,0.055555555555555566,21.983864498138427,1.6937330212737354,20.132393836975098,0.8375855798209804,0.0,0.0,0.1111111111111111,0.11111111111111112
small_optimal,wpr_no_progress,3.0,6.133333333333333,1.1666666666666667,0.446440548050206,0.05186806632583219,0.4444444444444444,0.055555555555555566,0.4444444444444444,0.055555555555555566,19.809556007385254,2.061676186442536,18.6776123046875,1.1279181229500084,0.0,0.0,0.13075396825396826,0.09059642004665996
small_optimal,wpr_no_residency,3.0,7.2,1.934769581457527,0.4965187953115519,0.0020333154353978505,0.5,0.0,0.5,0.0,20.19813823699951,2.279454335118055,18.625699149237736,1.1906258805028935,0.0,0.0,0.029166666666666674,0.029166666666666674
