scenario,policy,n,weighted_completed_value_mean,weighted_completed_value_sem,weighted_goodput_rate_mean,weighted_goodput_rate_sem,weighted_goodput_ratio_mean,weighted_goodput_ratio_sem,sla_success_ratio_mean,sla_success_ratio_sem,completion_ratio_mean,completion_ratio_sem,p95_latency_mean,p95_latency_sem,avg_latency_mean,avg_latency_sem,avg_ready_wait_mean,avg_ready_wait_sem,rejected_mean,rejected_sem,dropped_mean,dropped_sem,lookahead_gap_mean,lookahead_gap_sem
heavy,dag_oracle_greedy,10.0,61.12000000000002,4.281920649013062,0.7117800968676181,0.05319270465907997,0.725857717856205,0.06941110920008016,0.7253554409500701,0.0694527906521125,0.7720868074096974,0.05884035730597698,30.399341812133787,1.2699674553554867,21.523846004948687,0.9002422983143201,2.8024251856659697,0.23416074489135097,4.6,1.3515423288475528,1.8,0.5537749241945383,0.0,0.0
heavy,edf,10.0,60.59000000000001,4.902662541925562,0.6908474147734076,0.054816303665185674,0.7243680617756045,0.07856498998678504,0.7267893822337556,0.07905084623825508,0.776165279378195,0.06964818326538823,30.840703392028807,1.004276725759471,20.453892954977224,0.7496887101652826,2.599583411028254,0.23694798692382998,4.5,1.470071804746663,1.8,0.7272474743090476,0.0,0.0
heavy,online_greedy,10.0,59.56,4.703998299319421,0.6919459256997699,0.05377415284055348,0.7107378967753947,0.07470285052982348,0.7128337130095442,0.07483460817535854,0.7619477832009801,0.07102186902049559,30.563669853210445,1.2178576594514687,20.210753895806324,0.9365585978149512,2.478641547670712,0.21843918116552896,4.7,1.4067298564006128,2.0,0.7601169500660919,0.0,0.0
heavy,random,10.0,50.03000000000001,2.93068251436419,0.593922347870485,0.034495041370724344,0.6048929706281162,0.06558053157371353,0.6021466317853786,0.06525938891921028,0.6355788422764126,0.059580033142395995,31.348509159088138,0.9931147339188154,20.683772695048702,0.6912191998051196,2.37201817686884,0.1847957353964779,5.7,1.468559384794046,4.1,0.706320670013903,0.0,0.0
heavy,vanilla_a2c,10.0,60.210000000000015,4.278848495149654,0.733996158702702,0.046322014427839425,0.710254291707366,0.06413466733825413,0.70755892918297,0.06395075275427929,0.7119067552699266,0.06433588609528867,26.164595594406126,0.8365344954293683,17.479062823340296,0.5700699525658315,1.7094103808436423,0.11207574705814795,4.5,1.3354150416006751,3.3,0.7310570733153768,0.0,0.0
heavy,wpr_a2c,10.0,64.26000000000002,3.58255650494324,0.7606734906680207,0.037138316592065984,0.7506922482392551,0.050955138168006876,0.7473934499477978,0.05102740430131305,0.7598934499477978,0.054230042574687755,25.858271160125724,0.7856175821288519,18.17469485090436,0.5763335905108552,1.9027863016637603,0.13268988343266747,3.9,1.1780398031381527,2.7,0.5587684871413403,0.0,0.0
heavy,wpr_fixed_gamma,10.0,58.160000000000004,2.81836043748055,0.6863831763998276,0.031297272683424075,0.6863579037002772,0.05398009735256245,0.6782733658309106,0.05478458376450197,0.6913248956215707,0.055648758732681616,27.512455148696898,0.7025897619105812,19.264027792577778,0.51959600015363,1.983512694176816,0.11183581199360942,5.1,1.2600705447623866,3.2,0.6289320754704402,0.0,0.0
heavy,wpr_no_demand,10.0,61.290000000000006,2.9582821591818016,0.7421887251393343,0.03449356134303421,0.7225013053735898,0.055518716465628955,0.7166118751476807,0.05627410341472532,0.7313184601228079,0.05472361131931842,24.912437295913698,1.1933290520862148,17.85825888155555,0.6883742878174717,1.7789719768759826,0.16726716793403065,4.4,1.39204086785474,2.9,0.458257569495584,0.0,0.0
heavy,wpr_no_progress,10.0,59.29000000000002,4.047590504101039,0.6980352749517857,0.04455577866400805,0.7020085416280065,0.06525250874609431,0.6939707716977537,0.06679832108002524,0.7175667100731038,0.0620198368389393,27.814763593673707,1.1505853805746937,19.008290300176704,0.5838900726266858,2.009311508983603,0.14457688883053837,4.6,1.4079141387961915,3.1,0.6227180564089801,0.0,0.0
heavy,wpr_no_residency,10.0,60.65000000000001,3.3527186315320634,0.7255483439717427,0.03422554243591156,0.7158204622888804,0.057875989736556235,0.7076673541954872,0.05786626706022825,0.7278512369273239,0.057262473780767,26.077383022308346,0.9712452096439161,17.851668082268226,0.6274370496087598,1.7877186528907267,0.134706983889414,4.3,1.291424708520701,3.1,0.5666666666666665,0.0,0.0
