scenario,policy,train_seed,episode,weighted_completed_value,weighted_goodput,weighted_goodput_rate,sla_success_ratio,p95_latency,demand_loss,mean_abs_advantage,policy_entropy
trace_driven,vanilla_a2c,20260719,0.0,29.4,29.4,1.5862062627748603,0.058333333333333334,16.9040816783905,0.0,18.14626755136432,1.7299693203503705
trace_driven,vanilla_a2c,20260719,1.0,25.2,25.2,1.407997709920003,0.05,16.232239055633542,0.0,15.030265908087454,1.8174415481968138
trace_driven,vanilla_a2c,20260719,2.0,25.2,25.2,1.3968511445449423,0.05,16.903414154052733,0.0,15.117463669993661,1.7255023137032885
trace_driven,vanilla_a2c,20260719,3.0,21.0,21.0,1.1154003214191677,0.041666666666666664,16.712337303161622,0.0,11.988460131593653,2.0002275362295068
trace_driven,vanilla_a2c,20260719,4.0,21.0,21.0,1.1003178730651508,0.041666666666666664,16.305303287506103,0.0,12.377570430437723,1.764114058719081
trace_driven,vanilla_a2c,20260719,5.0,29.4,29.4,1.5980933028524433,0.058333333333333334,16.1582181930542,0.0,13.627843762889054,1.7876358613231886
trace_driven,vanilla_a2c,20260719,6.0,21.0,21.0,1.03074606447409,0.041666666666666664,16.973273849487306,0.0,13.616718919838176,1.6960863025615007
trace_driven,vanilla_a2c,20260719,7.0,29.4,29.4,1.4035934518051434,0.058333333333333334,17.078667831420898,0.0,12.886501629610319,1.8470477746036986
trace_driven,vanilla_a2c,20260719,8.0,29.4,29.4,1.3926895151854557,0.058333333333333334,15.828458595275878,0.0,10.369467503494686,1.7840524811825782
trace_driven,vanilla_a2c,20260719,9.0,29.4,29.4,1.403256819512176,0.058333333333333334,15.685101127624511,0.0,10.727691744055067,1.9286087057423007
trace_driven,vanilla_a2c,20260719,10.0,21.0,21.0,1.007178016024411,0.041666666666666664,16.142365217208862,0.0,12.680492593961603,1.6722065476752401
trace_driven,vanilla_a2c,20260719,11.0,25.2,25.2,1.3968381987664038,0.05,17.060242176055908,0.0,12.134476568436984,1.835759552017667
trace_driven,vanilla_a2c,20260719,12.0,21.0,21.0,1.1387994767098983,0.041666666666666664,17.34340057373047,0.0,7.406546431429246,1.6144262298677836
trace_driven,vanilla_a2c,20260719,13.0,12.600000000000001,12.600000000000001,0.5842893607712848,0.025,17.706964874267577,0.0,10.097580564744545,1.691543276111997
trace_driven,vanilla_a2c,20260719,14.0,21.0,21.0,1.1504361264249139,0.041666666666666664,17.491089725494383,0.0,9.6830913967946,1.856540321905839
trace_driven,vanilla_a2c,20260719,15.0,21.0,21.0,1.1611821803163591,0.041666666666666664,17.090549850463866,0.0,8.310836005955935,1.6682378072113422
trace_driven,vanilla_a2c,20260719,16.0,29.4,29.4,1.4933876568856135,0.058333333333333334,16.103068256378172,0.0,10.99734256845532,1.6605371183714501
trace_driven,vanilla_a2c,20260719,17.0,25.2,25.2,1.2201123292449016,0.05,14.517395973205566,0.0,8.651908159736664,1.6967511001883442
trace_driven,vanilla_a2c,20260719,18.0,21.0,21.0,1.1773611448327352,0.041666666666666664,16.95433530807495,0.0,8.536673923785036,1.7409630464703931
trace_driven,vanilla_a2c,20260719,19.0,25.2,25.2,1.4162607942767307,0.05,16.911906719207764,0.0,5.839660847954677,1.770223526367574
trace_driven,vanilla_a2c,20260719,20.0,21.0,21.0,0.9794419377274166,0.041666666666666664,17.043799972534178,0.0,7.182754061288303,1.90535984140277
trace_driven,vanilla_a2c,20260719,21.0,25.2,25.2,1.3646097810836466,0.05,16.85293197631836,0.0,8.177864733067425,1.7419171193857927
trace_driven,vanilla_a2c,20260719,22.0,25.2,25.2,1.338361564564909,0.05,15.524040603637694,0.0,5.592781867831945,1.729298413862193
trace_driven,vanilla_a2c,20260719,23.0,25.2,25.2,1.232136291542611,0.05,14.157872915267944,0.0,4.724794609265195,1.780827613852086
trace_driven,vanilla_a2c,20260719,24.0,21.0,21.0,1.0574083032497106,0.041666666666666664,17.272782802581787,0.0,7.278193122509754,1.7607532562817503
trace_driven,vanilla_a2c,20260719,25.0,12.600000000000001,12.600000000000001,0.6858214888133521,0.025,17.157666206359863,0.0,8.150640930980444,1.7882649666594341
trace_driven,vanilla_a2c,20260719,26.0,25.2,25.2,1.2094293384224057,0.05,17.129054737091064,0.0,5.19751838925812,1.734329724071418
trace_driven,vanilla_a2c,20260719,27.0,16.8,16.8,0.8198450791207458,0.03333333333333333,16.713852977752687,0.0,7.295457668602467,1.7469157318779727
trace_driven,vanilla_a2c,20260719,28.0,25.2,25.2,1.3520103601115259,0.05,16.86781463623047,0.0,7.791769956841188,1.7470266707827289
trace_driven,vanilla_a2c,20260719,29.0,21.0,21.0,1.0720575543096045,0.041666666666666664,16.311124801635742,0.0,6.461616125973788,1.634852833062012
