scenario,policy,n,weighted_completed_value_mean,weighted_completed_value_sem,weighted_goodput_rate_mean,weighted_goodput_rate_sem,weighted_goodput_ratio_mean,weighted_goodput_ratio_sem,sla_success_ratio_mean,sla_success_ratio_sem,completion_ratio_mean,completion_ratio_sem,p95_latency_mean,p95_latency_sem,avg_latency_mean,avg_latency_sem,avg_ready_wait_mean,avg_ready_wait_sem,rejected_mean,rejected_sem,dropped_mean,dropped_sem
trace_driven,random,10.0,21.0,1.3999999999999997,1.0649751457201486,0.09441908747775452,0.04216867469879518,0.002811244979919679,0.04166666666666667,0.0027777777777777783,0.06000000000000001,0.0020786985482077447,16.688352723121643,0.23195147138319866,13.515511527799424,0.23960223651757928,1.8534424692037557,0.05673422714805306,110.6,0.1632993161855452,2.2,0.29059326290271154
trace_driven,edf,10.0,35.7,1.2907362240210047,1.9685568798373574,0.05852663621182432,0.07168674698795181,0.0025918398072710945,0.07083333333333333,0.0025609845714702458,0.07916666666666666,0.0013888888888888885,15.660738186836245,0.14303492561539738,12.88210191567739,0.12498057548405236,1.95666307186087,0.033778362796714215,110.5,0.16666666666666666,0.0,0.0
trace_driven,online_greedy,10.0,37.38000000000001,0.9800000000000006,2.031932660467247,0.0701721833398457,0.07506024096385543,0.001967871485943776,0.07416666666666666,0.001944444444444444,0.07916666666666666,0.0013888888888888885,15.505782513618467,0.11713610536524499,13.298588893678453,0.10500394060293962,2.0449047321246727,0.026904368813312006,110.5,0.16666666666666666,0.0,0.0
trace_driven,dag_oracle_greedy,10.0,39.480000000000004,0.6858571279792903,2.0921634786940255,0.06524787472287259,0.07927710843373495,0.0013772231485527904,0.07833333333333334,0.001360827634879543,0.08166666666666667,0.0011111111111111107,15.104734997749327,0.1401783963558893,13.097960279252794,0.11641623482411682,2.014757581121392,0.03301522453041107,110.2,0.13333333333333333,0.0,0.0
trace_driven,vanilla_a2c,10.0,15.959999999999999,1.7485994395515514,0.7887708282479677,0.09033028116205212,0.03204819277108434,0.0035112438545211867,0.03166666666666667,0.0034694433324435536,0.0425,0.002307395517477243,15.928599367141725,0.47966033193413254,13.086763374464851,0.18072607760353843,1.7366786490983905,0.05062985031239548,110.3,0.15275252316519464,4.6,0.339934634239519
trace_driven,wpr_no_progress,10.0,29.4,0.6260990336999412,1.5273745205468807,0.047418038616453044,0.05903614457831326,0.0012572269753010866,0.058333333333333334,0.001242259987499883,0.06916666666666667,0.0012729376930432886,16.222118096351622,0.2681902121153565,10.99547417362531,0.12169174919441922,1.393664121793376,0.030650740700195835,110.1,0.09999999999999999,1.6,0.22110831935702666
trace_driven,wpr_no_demand,10.0,25.2,1.7708754896942922,1.2222504668792762,0.09385290765483452,0.05060240963855421,0.0035559748789042015,0.05,0.003513641844631533,0.05750000000000001,0.004015786748555822,15.269485087394713,0.5193769787309628,11.014853880973089,0.216421463524504,1.3122733229883607,0.06881924390026488,110.2,0.13333333333333333,2.9,0.45825756949558394
trace_driven,wpr_no_residency,10.0,20.16,2.0575713839378693,1.0526107748381501,0.11007446603300428,0.04048192771084337,0.0041316694456583715,0.04,0.00408248290463863,0.059166666666666666,0.0036111111111111114,16.968592386245728,0.11143732605310594,12.667513678433403,0.3804878693382008,1.7330577392947106,0.08641221950798572,110.2,0.13333333333333333,2.7,0.4725815626252608
trace_driven,wpr_no_shaping,10.0,5.46,1.6624078921853083,0.24071922130811102,0.07453052315968847,0.010963855421686746,0.003338168458203431,0.010833333333333334,0.0032984283575105324,0.020833333333333332,0.004347909956249591,16.325323872566223,0.198059132651538,15.236313025156656,0.3100996154640022,2.3082414390643438,0.029982798623403438,112.0,0.0,5.5,0.5217491947499509
trace_driven,wpr_a2c,10.0,36.540000000000006,1.0934349546269322,2.1355003866718096,0.0685977218377086,0.07337349397590362,0.0021956525193311894,0.0725,0.002169513798862959,0.08083333333333334,0.0012729376930432886,15.652653303146362,0.10845146134433145,13.238859962887233,0.04206227774132639,2.089942328267627,0.012899560666118064,110.3,0.15275252316519464,0.0,0.0
