scenario,policy,n,weighted_completed_value_mean,weighted_completed_value_sem,weighted_goodput_rate_mean,weighted_goodput_rate_sem,weighted_goodput_ratio_mean,weighted_goodput_ratio_sem,sla_success_ratio_mean,sla_success_ratio_sem,completion_ratio_mean,completion_ratio_sem,p95_latency_mean,p95_latency_sem,avg_latency_mean,avg_latency_sem,avg_ready_wait_mean,avg_ready_wait_sem,rejected_mean,rejected_sem,dropped_mean,dropped_sem,lookahead_gap_mean,lookahead_gap_sem
moderate,dag_oracle_greedy,10.0,48.24000000000001,2.238014993495601,0.6872790423062438,0.030515765310961354,0.9144364165400873,0.04215402307632209,0.9141391941391943,0.04165479979679842,0.9141391941391943,0.04165479979679842,26.065195188522335,1.4893480315187215,18.488765547050857,1.207276833817026,1.7211779875421798,0.25481624184101986,1.4,0.7916228058025278,0.2,0.13333333333333333,0.0,0.0
moderate,edf,10.0,47.640000000000015,2.1419720923589196,0.6853307358087857,0.03439660331376746,0.9115876869958127,0.053584264743123215,0.9142124542124541,0.0513643679124502,0.9192124542124542,0.048105855588697254,24.956011085510248,1.2445676606574276,16.886076597643424,0.9346490536941164,1.4837931733058247,0.22111768194996329,1.2,0.7272474743090475,0.4,0.26666666666666666,0.0,0.0
moderate,online_greedy,10.0,47.12000000000002,2.3728463919942233,0.6808328257746211,0.033207464866686874,0.9013490022195396,0.05570857186533388,0.9015201465201466,0.05520774303507397,0.9015201465201466,0.05520774303507397,25.34485107421875,1.2609534349068026,17.55573016410425,1.1400891493707503,1.6463845080376012,0.24906904658631526,1.6,0.9213516640723501,0.3,0.21343747458109494,0.0,0.0
moderate,random,10.0,44.300000000000004,2.2876965610752578,0.6363509173320074,0.032904708100549476,0.8533352661254261,0.06004248150305926,0.850746336996337,0.05994779652766198,0.8628891941391942,0.05680406418168325,27.003533802032468,1.3929753291827627,19.449329355079815,1.1378519324839094,1.9398730474412438,0.2675405579879502,1.8,0.9637888196533972,0.7,0.2603416558635551,0.0,0.0
moderate,vanilla_a2c,10.0,47.300000000000004,2.737476534653363,0.6960081793361849,0.03606089573664161,0.9008403323681188,0.053510063482326294,0.8989010989010989,0.05356133087890425,0.9060439560439562,0.05446955420291415,24.610852231979365,1.3471595271859258,16.76219470812486,0.9604378013312743,1.427403895298638,0.19244774187577687,1.3,0.8034647195462633,0.5,0.30731814857642953,0.0,0.0
moderate,wpr_a2c,10.0,47.70000000000001,2.208418237361554,0.6932733649149392,0.03512826349075199,0.9128512586347032,0.05409497940297448,0.9145238095238095,0.05224422993596918,0.9266666666666665,0.049140765305546626,25.671029281616207,1.5032718046500926,17.349632047139682,1.067587218333978,1.6013395747593795,0.234552962440249,1.2,0.7999999999999999,0.3,0.21343747458109494,0.0,0.0
moderate,wpr_fixed_gamma,10.0,46.18000000000001,2.097818973230161,0.6467364231707151,0.029813904526573426,0.8889955359701993,0.05900944897627405,0.8860576923076924,0.0595138102688882,0.9042124542124542,0.058622079366868605,25.079834947586058,1.0449074879682734,18.14803180478868,0.8365830507992252,1.6390751988302896,0.1965256626466781,1.3,0.7895146188218007,0.6,0.4268749491621899,0.0,0.0
moderate,wpr_no_demand,10.0,44.740000000000016,2.4411381680592275,0.6477978249968207,0.03282461541326383,0.8642898433962399,0.06589240951396136,0.8618040293040293,0.06726031885462458,0.8823397435897438,0.06076662457446528,24.32270266532898,1.6928729594251886,16.662107584659868,1.1008846223189244,1.3560465690299577,0.22399016975943178,1.3,0.7895146188218007,0.9,0.5044248650140518,0.0,0.0
moderate,wpr_no_progress,10.0,45.05000000000001,2.672379297762785,0.6591657244057657,0.039809067215135316,0.867353995624678,0.0635981692884284,0.8645421245421246,0.06425905196931395,0.8716849816849818,0.06456393187585875,24.50214052200317,1.2046237522706005,16.73957142491679,0.7611806765595651,1.3157101226331878,0.1514039511089614,1.5,0.9339283817414599,0.9,0.40688518719112343,0.0,0.0
moderate,wpr_no_residency,10.0,45.87000000000001,2.483055912915912,0.6804987001392412,0.03226486984337567,0.8757727006004427,0.05451375371983151,0.8721611721611723,0.05542242767353219,0.8771611721611723,0.051798967902029605,23.346753797531125,1.3134277494330817,16.366071556413964,0.9852151043796772,1.279942901123613,0.18441627743035197,1.5,0.8465616732800195,0.7,0.2603416558635551,0.0,0.0
moderate,wpr_no_shaping,10.0,46.000000000000014,1.9450792614526884,0.6699372295847811,0.027939993826588082,0.8799964014996352,0.05033473142659064,0.8791529304029304,0.049239855706874856,0.8839148351648352,0.04714218851364883,24.4715989780426,1.2761188417306522,17.746025929395415,0.9550520593685059,1.5525746598856933,0.24129272662904397,1.5,0.8465616732800195,0.6,0.26666666666666666,0.0,0.0
moderate,wpr_with_wait,10.0,46.18000000000001,2.487828146976574,0.6779550882019942,0.029058454000350124,0.8816406908477432,0.05466620311544617,0.8801968864468865,0.055761992195705996,0.8864468864468865,0.056815930260329585,24.017206401824954,1.6815571148656347,16.308849931684605,0.9856297648512485,1.268955255157594,0.18012345298374158,1.4,0.8589399151150082,0.7,0.334995854037363,0.0,0.0
