scenario,policy,train_seed,episode,weighted_completed_value,weighted_goodput,weighted_goodput_rate,sla_success_ratio,p95_latency,demand_loss,mean_abs_advantage,policy_entropy
light,vanilla_a2c,20260717,0.0,30.1,30.1,0.4239572889771826,0.8888888888888888,29.762911224365233,0.0,0.41135331861359636,0.8072906065526757
light,vanilla_a2c,20260717,1.0,7.7,7.7,0.2645837477855023,1.0,14.377228403091431,0.0,9.771432597111328,1.0808997434163083
light,vanilla_a2c,20260717,2.0,27.499999999999996,27.499999999999996,0.44820010984530717,1.0,27.43779678344726,0.0,2.631607473836604,0.7912550878833531
light,vanilla_a2c,20260717,3.0,22.8,22.8,0.39815313268800234,0.6,29.933371543884277,0.0,9.853518021206355,0.7925976072338826
light,vanilla_a2c,20260717,4.0,24.1,24.1,0.3653855337732412,0.8571428571428571,30.218671321868896,0.0,10.0,0.7555087415905595
light,vanilla_a2c,20260717,5.0,22.3,22.3,0.3459802672503178,0.8571428571428571,24.412856101989746,0.0,4.597822051677039,0.6709510588949386
light,vanilla_a2c,20260717,6.0,7.3,7.3,0.1336123447279803,0.4,31.838748359680174,0.0,0.6539830830484505,0.5000842871919451
light,vanilla_a2c,20260717,7.0,18.1,18.1,0.26215022731634446,0.8333333333333334,27.924396133422853,0.0,2.9376460786235237,0.640395359100428
light,wpr_no_progress,20260717,0.0,14.2,14.2,0.2570520914576169,1.0,20.38293046951294,0.22581371059641242,4.537915788470698,1.2027968795301938
light,wpr_no_progress,20260717,1.0,19.4,19.4,0.30282002324223406,0.8333333333333334,25.924170970916748,0.06785302119509827,0.8562304655060484,1.0412248469583552
light,wpr_no_progress,20260717,2.0,28.800000000000004,28.800000000000004,0.493485764647624,0.5333333333333333,26.84049777984619,0.04890723487862,0.7542375369073838,1.1089005734842872
light,wpr_no_progress,20260717,3.0,28.799999999999997,28.799999999999997,0.5444056920142579,1.0,24.342679214477535,0.06276596475165719,1.0128808565781036,0.6922576855098994
light,wpr_no_progress,20260717,4.0,22.8,22.8,0.36600541983971313,1.0,27.224803924560547,0.07050855782994579,4.134543324681977,0.6987416414953622
light,wpr_no_progress,20260717,5.0,34.1,34.1,0.5708705080590601,0.9,26.28010330200195,0.023023928792681544,0.7848619565716366,0.8292046423710941
light,wpr_no_progress,20260717,6.0,14.6,14.6,0.2675069674994547,1.0,29.75258646011352,0.11498828115873039,2.6728965274459644,0.9768596760255797
