scenario,policy,n,weighted_completed_value_mean,weighted_completed_value_sem,weighted_goodput_rate_mean,weighted_goodput_rate_sem,weighted_goodput_ratio_mean,weighted_goodput_ratio_sem,sla_success_ratio_mean,sla_success_ratio_sem,completion_ratio_mean,completion_ratio_sem,p95_latency_mean,p95_latency_sem,avg_latency_mean,avg_latency_sem,avg_ready_wait_mean,avg_ready_wait_sem,rejected_mean,rejected_sem,dropped_mean,dropped_sem,lookahead_gap_mean,lookahead_gap_sem
light,dag_oracle_greedy,2.0,27.5,2.9000000000000004,0.5795260713197542,0.13351952127451575,0.9470588235294117,0.05294117647058821,0.9444444444444444,0.05555555555555558,0.9444444444444444,0.05555555555555558,19.93700699806213,0.8275604724884023,16.655250012874603,0.6217365860939026,0.6319959380409934,0.26197073676369403,0.5,0.5,0.0,0.0,0.0,0.0
light,edf,2.0,29.299999999999997,4.700000000000001,0.5695796358706124,0.12715721398722393,1.0,7.850462293418875e-17,1.0,0.0,1.0,0.0,20.253878593444824,0.042656898498535156,15.78335936864217,0.3141198158264151,0.6707275123758749,0.3332139788703485,0.0,0.0,0.0,0.0,0.0,0.0
light,online_greedy,2.0,29.299999999999997,4.700000000000001,0.5855636812176852,0.14668189457769115,1.0,7.850462293418875e-17,1.0,0.0,1.0,0.0,21.241598510742186,0.5989593505859379,15.834529134962295,0.2562760247124567,0.6878623793070966,0.3503492792898958,0.0,0.0,0.0,0.0,0.0,0.0
light,random,2.0,27.5,2.9000000000000004,0.5543820145665393,0.10874029574725166,0.9470588235294117,0.05294117647058821,0.9444444444444444,0.05555555555555558,0.9444444444444444,0.05555555555555558,21.657241678237916,1.8928488254547116,17.720941404501595,0.6884207924207056,0.7479017907922918,0.3778765028173274,0.5,0.5,0.0,0.0,0.0,0.0
light,vanilla_a2c,2.0,27.499999999999996,2.8999999999999986,0.5444703556299346,0.13002476946049232,0.9470588235294116,0.052941176470588255,0.9444444444444444,0.05555555555555558,0.9444444444444444,0.05555555555555558,21.594402456283568,1.3328140735626217,18.59431151549021,0.4090414444605503,1.1020416649905118,0.10754943760958585,0.5,0.5,0.0,0.0,0.0,0.0
light,wpr_a2c,2.0,27.5,2.9000000000000004,0.540544257717044,0.11128514549749187,0.9470588235294117,0.05294117647058821,0.9444444444444444,0.05555555555555558,0.9444444444444444,0.05555555555555558,21.721986055374146,0.168839693069458,18.421557645003,0.6133817632993067,0.8196662064754602,0.46032926675045127,0.5,0.5,0.0,0.0,0.0,0.0
light,wpr_fixed_gamma,2.0,27.499999999999996,2.8999999999999986,0.5454577608376242,0.1079700864359814,0.9470588235294116,0.052941176470588255,0.9444444444444444,0.05555555555555558,0.9444444444444444,0.05555555555555558,20.293685913085938,0.42027664184570307,17.667421579360962,0.03571963310241699,0.6425678238724217,0.2786768291935776,0.5,0.5,0.0,0.0,0.0,0.0
light,wpr_no_demand,2.0,29.299999999999997,4.700000000000001,0.5790549927492,0.14708883143684004,1.0,7.850462293418875e-17,1.0,0.0,1.0,0.0,20.972064781188962,0.20377559661865338,16.315934949451023,0.0963347487979469,0.6845958605408669,0.33193043619394297,0.0,0.0,0.0,0.0,0.0,0.0
light,wpr_no_progress,2.0,2.1,2.0999999999999996,0.030007492382199987,0.030007492382199987,0.08536585365853658,0.08536585365853658,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,17.441509199142455,17.441509199142455,16.516082286834717,16.516082286834717,2.2010964155197144,2.2010964155197144,2.5,1.4999999999999998,4.0,1.0,0.0,0.0
light,wpr_no_residency,2.0,27.499999999999996,2.8999999999999986,0.46857088998533686,0.10519705453514355,0.9470588235294116,0.052941176470588255,0.9444444444444444,0.05555555555555558,0.9444444444444444,0.05555555555555558,28.49881906509399,0.9040816307067895,21.10892963409424,1.3303961753845215,1.6881395412213875,0.045349191896843166,0.5,0.5,0.0,0.0,0.0,0.0
light,wpr_no_shaping,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,17.39656219482422,17.39656219482422,17.385040283203125,17.385040283203125,2.487735152244568,2.4877351522445674,2.5,1.4999999999999998,4.0,1.0,0.0,0.0
