scenario,policy,train_seed,episode,weighted_completed_value,weighted_goodput,weighted_goodput_rate,sla_success_ratio,p95_latency,demand_loss,mean_abs_advantage,policy_entropy
light,vanilla_a2c,20260717,0.0,28.0,28.0,0.4729487055383641,0.7,27.89118137359619,0.0,4.1838423436687835,1.2422641945258805
light,vanilla_a2c,20260717,1.0,27.200000000000003,27.200000000000003,0.5266804971895729,1.0,23.972079658508296,0.0,2.4023668472655118,0.9788493994200803
light,vanilla_a2c,20260717,2.0,19.599999999999998,19.599999999999998,0.34656927674703614,1.0,20.186491394042967,0.0,1.6336574321207793,1.2133095792674107
light,vanilla_a2c,20260717,3.0,15.4,15.4,0.28191603427674206,0.4,27.004279994964598,0.0,2.4036755807259502,0.8694315454457293
light,vanilla_a2c,20260717,4.0,14.8,14.8,0.23922109383302473,0.6666666666666666,27.750911140441893,0.0,1.0955329844728112,0.845349025477524
light,vanilla_a2c,20260717,5.0,17.9,17.9,0.32480156588605513,0.625,28.075897216796875,0.0,1.5008042789087064,0.9520369283081007
light,vanilla_a2c,20260717,6.0,34.1,34.1,0.5151856973597252,0.6,28.276984786987306,0.0,2.048795818714267,1.0217603539401445
light,vanilla_a2c,20260717,7.0,18.4,18.4,0.2844910142624543,1.0,24.633045196533203,0.0,2.1130517845352492,0.9809972808694484
light,wpr_no_progress,20260717,0.0,17.3,17.3,0.3713514120531876,1.0,15.58605728149414,0.18854226647979683,4.699941674868266,1.6106135614045738
light,wpr_no_progress,20260717,1.0,18.1,18.1,0.3030311375397511,0.7142857142857143,25.942816257476807,0.08408044384171566,1.9537740608056386,1.2325572528030864
light,wpr_no_progress,20260717,2.0,41.800000000000004,41.800000000000004,0.6784902935558101,1.0,27.961896896362305,0.03474462803510227,3.2724996330786724,1.4696134789479252
light,wpr_no_progress,20260717,3.0,30.4,30.4,0.5824726232426783,1.0,20.284758377075192,0.0559256732231006,3.6931307315826416,1.2519175279319776
light,wpr_no_progress,20260717,4.0,38.699999999999996,38.699999999999996,0.632975072392217,1.0,22.234047222137452,0.044829861236697376,3.137457480033239,1.0223976710073277
light,wpr_no_progress,20260717,5.0,29.4,29.4,0.48982941404950686,1.0,18.84988441467285,0.06017647470861416,3.6656652442340194,1.32405164645452
light,wpr_no_progress,20260717,6.0,22.2,22.2,0.37308657629631226,0.75,24.85208034515381,0.05209696676694986,1.715299117294225,1.4164242691008608
light,wpr_no_progress,20260717,7.0,22.8,22.8,0.3633241979769872,1.0,18.22532320022583,0.054672302762893116,2.150808822024952,1.3822237127374095
light,wpr_no_demand,20260717,0.0,40.10000000000001,40.10000000000001,0.6734678528703564,0.9166666666666666,23.610963821411133,0.0,5.473113964433256,1.414460008696674
